Year,StateANSI,OtherStateANSI,InflowReturns,InflowExemptions,InflowAGI
2005,15,33,71,108,2303
2004,15,33,80,130,3175
2003,15,33,61,88,1781
2002,15,33,66,101,3022
2001,15,33,80,120,2191
2000,15,33,69,104,2739
1999,15,33,60,95,1425
1998,15,33,57,92,1763
1997,15,33,61,94,1469
1996,15,33,53,90,1495
1995,15,33,56,88,1268
1994,15,33,79,135,1646
1993,15,33,77,120,1440
2011,15,34,307,501,12566
2010,15,34,300,463,11076
2009,15,34,291,456,20178
2008,15,34,286,455,12014
2007,15,34,286,471,12200
2006,15,34,303,476,12342
2005,15,34,273,441,16871
2004,15,34,299,491,9825
2003,15,34,271,435,11535
2002,15,34,269,423,15433
2001,15,34,235,372,9343
2000,15,34,248,410,10474
1999,15,34,232,383,7131
1998,15,34,240,397,7707
1997,15,34,233,355,5944
1996,15,34,230,419,7287
1995,15,34,238,410,7151
1994,15,34,305,519,7433
1993,15,34,360,710,11521
2011,15,35,161,292,6443
2010,15,35,159,286,7018
2009,15,35,152,303,6239
2008,15,35,183,306,8503
2007,15,35,202,418,9562
2006,15,35,193,366,7973
2005,15,35,160,286,5798
2004,15,35,172,334,5940
2003,15,35,196,385,6760
2002,15,35,146,309,4877
2001,15,35,156,263,4775
2000,15,35,145,279,4485
1999,15,35,156,305,4324
1998,15,35,139,258,3605
1997,15,35,167,334,4574
1996,15,35,132,229,3676
1995,15,35,156,315,3939
1994,15,35,147,278,3199
1993,15,35,174,371,4818
2011,15,36,793,1373,33737
2010,15,36,746,1139,27752
2009,15,36,721,1132,28284
2008,15,36,772,1194,41185
2007,15,36,773,1233,31204
2006,15,36,822,1315,35955
2005,15,36,717,1155,27619
2004,15,36,685,1063,25074
2003,15,36,735,1190,25315
2002,15,36,790,1347,28793
2001,15,36,734,1296,30928
2000,15,36,600,945,23380
1999,15,36,602,1038,17753
1998,15,36,710,1379,18075
1997,15,36,635,1167,18264
1996,15,36,618,1111,15833
1995,15,36,747,1378,18129
1994,15,36,746,1288,17112
1993,15,36,809,1391,18325
2011,15,37,765,1847,28156
2010,15,37,632,1424,22734
2009,15,37,664,1594,26007
2008,15,37,643,1404,24182
2007,15,37,619,1357,21231
2006,15,37,661,1477,21244
2005,15,37,526,1129,23657
2004,15,37,532,1202,15728
2003,15,37,639,1350,19435
2002,15,37,658,1529,21783
2001,15,37,732,1695,21887
2000,15,37,595,1330,17956
1999,15,37,530,1178,14175
1998,15,37,634,1522,17386
1997,15,37,642,1511,15112
1996,15,37,679,1695,16683
1995,15,37,614,1460,14177
1994,15,37,702,1747,14902
1993,15,37,800,1950,17212
2011,15,38,45,76,1599
2010,15,38,33,71,992
2009,15,38,41,93,1816
2008,15,38,30,63,1349
2007,15,38,41,66,1501
2006,15,38,46,74,1636
2005,15,38,25,46,1044
2004,15,38,37,80,913
2003,15,38,33,59,847
2002,15,38,41,103,1609
2001,15,38,46,81,1220
2000,15,38,28,62,715
1999,15,38,29,59,893
1998,15,38,30,67,791
1997,15,38,34,75,1055
1996,15,38,43,84,898
1995,15,38,36,82,1079
1994,15,38,50,107,947
1993,15,38,39,70,936
2011,15,39,387,684,14648
2010,15,39,384,688,13127
2009,15,39,379,659,11167
2008,15,39,411,673,14077
2007,15,39,379,629,13757
2006,15,39,418,708,16516
2005,15,39,323,525,10500
2004,15,39,351,574,11171
2003,15,39,323,526,9933
2002,15,39,365,560,10329
2001,15,39,288,493,8531
2000,15,39,276,465,9095
1999,15,39,271,462,8225
1998,15,39,318,561,9167
1997,15,39,317,574,8357
1996,15,39,291,541,6862
1995,15,39,323,557,7629
1994,15,39,400,659,8485
1993,15,39,397,658,7578
2011,15,40,256,629,9493
2010,15,40,251,555,9694
2009,15,40,218,457,7287
2008,15,40,241,572,7700
2007,15,40,216,486,8520
2006,15,40,251,578,7782
2005,15,40,205,433,6527
2004,15,40,148,326,5853
2003,15,40,229,495,6780
2002,15,40,227,502,6850
2001,15,40,238,602,7416
2000,15,40,175,386,5114
1999,15,40,202,484,5618
1998,15,40,215,489,5499
1997,15,40,196,475,4275
1996,15,40,230,524,5610
1995,15,40,240,562,5411
1994,15,40,215,506,5088
1993,15,40,286,693,6451
2011,15,41,698,1180,24926
2010,15,41,692,1116,21523
2009,15,41,684,1097,25034
2008,15,41,732,1217,25016
2007,15,41,632,1029,19449
2006,15,41,692,1219,22042
2005,15,41,673,1127,21361
2004,15,41,680,1174,24921
2003,15,41,641,1085,21738
2002,15,41,572,1002,20307
2001,15,41,575,970,22044
2000,15,41,581,982,20319
1999,15,41,459,738,21408
1998,15,41,461,759,10182
1997,15,41,429,701,10390
1996,15,41,395,650,9966
1995,15,41,502,872,10652
1994,15,41,504,861,10956
1993,15,41,495,788,10485
2011,15,42,370,587,13450
2010,15,42,411,652,15218
2009,15,42,416,690,14998
2008,15,42,425,640,15006
2007,15,42,413,664,15356
2006,15,42,476,693,15172
2005,15,42,412,686,15714
2004,15,42,354,530,11297
2003,15,42,399,644,12539
2002,15,42,373,600,12714
2001,15,42,352,531,14635
2000,15,42,290,477,8893
1999,15,42,320,511,9613
1998,15,42,332,562,9556
1997,15,42,352,560,9234
1996,15,42,359,625,9611
1995,15,42,378,639,9751
1994,15,42,369,586,7641
1993,15,42,436,738,10049
2011,15,44,83,201,4401
2010,15,44,80,169,4162
2009,15,44,86,184,4936
2008,15,44,95,204,4968
2007,15,44,80,181,4472
2006,15,44,84,174,3818
2005,15,44,71,170,3565
2004,15,44,74,145,2996
2003,15,44,68,152,2638
2002,15,44,99,230,4689
2001,15,44,87,198,3905
2000,15,44,69,130,2787
1999,15,44,75,176,2944
1998,15,44,91,212,3268
1997,15,44,67,144,2306
1996,15,44,59,132,1867
1995,15,44,93,209,3097
1994,15,44,81,165,2625
1993,15,44,77,162,2342
2011,15,45,381,810,15962
2010,15,45,333,722,12749
2009,15,45,339,755,12056
2008,15,45,343,676,12919
2007,15,45,315,637,12779
2006,15,45,384,858,15207
2005,15,45,297,636,10651
2004,15,45,312,641,10527
2003,15,45,310,638,9625
2002,15,45,295,637,9123
2001,15,45,313,701,10729
2000,15,45,267,535,7873
1999,15,45,215,484,6331
1998,15,45,257,516,6412
1997,15,45,270,589,6560
1996,15,45,309,770,8601
1995,15,45,316,737,8383
1994,15,45,311,711,7933
1993,15,45,396,944,9451
2011,15,46,27,50,1591
2010,15,46,41,75,1216
2009,15,46,40,73,1488
2008,15,46,41,76,1708
2007,15,46,23,47,1074
2006,15,46,46,82,1483
2005,15,46,34,68,1030
2004,15,46,34,66,1090
2003,15,46,30,53,926
2002,15,46,24,43,706
2001,15,46,35,66,976
2000,15,46,39,69,1089
1999,15,46,31,53,1024
1998,15,46,24,49,622
1997,15,46,41,64,839
1996,15,46,37,67,755
1995,15,46,43,76,878
1994,15,46,43,72,1150
1993,15,46,54,80,1035
2011,15,47,298,612,11602
2010,15,47,298,619,11425
2009,15,47,247,500,10947
2008,15,47,246,520,9406
2007,15,47,190,383,6065
2006,15,47,282,534,9259
2005,15,47,201,419,7195
2004,15,47,224,429,6446
2003,15,47,251,547,8903
2002,15,47,232,522,6904
2001,15,47,236,488,9880
2000,15,47,165,342,7504
1999,15,47,185,387,5475
1998,15,47,235,530,5854
1997,15,47,222,465,5156
1996,15,47,200,438,4777
1995,15,47,257,577,5388
1994,15,47,229,493,5386
1993,15,47,277,600,6365
2011,15,48,1772,3900,81182
2010,15,48,1456,3115,54612
2009,15,48,1567,3433,61338
2008,15,48,1582,3225,56469
2007,15,48,1329,2657,61606
2006,15,48,1611,3478,58253
2005,15,48,1154,2283,41384
2004,15,48,1322,2603,46175
2003,15,48,1403,2829,45894
2002,15,48,1325,2712,42733
2001,15,48,1518,3277,47862
2000,15,48,1123,2263,36872
1999,15,48,1291,2757,40417
1998,15,48,1243,2630,33598
1997,15,48,1194,2534,32327
1996,15,48,1253,2714,32526
1995,15,48,1272,2794,29874
1994,15,48,1335,2849,30965
1993,15,48,1611,3499,38425
2011,15,49,300,665,9699
2010,15,49,271,598,9154
2009,15,49,331,755,14539
2008,15,49,366,770,15345
2007,15,49,265,527,11808
2006,15,49,322,689,10625
2005,15,49,307,627,10226
2004,15,49,309,662,9608
2003,15,49,269,556,7739
2002,15,49,278,607,10701
2001,15,49,223,498,8107
2000,15,49,184,389,5534
1999,15,49,176,362,5504
1998,15,49,171,351,4201
1997,15,49,157,334,4131
1996,15,49,174,350,4376
1995,15,49,193,409,4584
1994,15,49,159,343,3621
1993,15,49,178,372,4642
2011,15,50,37,50,903
2010,15,50,30,49,937
2009,15,50,43,75,1966
2008,15,50,43,60,1197
2007,15,50,40,64,1802
2006,15,50,40,67,1672
2005,15,50,40,55,1110
2004,15,50,57,80,1715
2003,15,50,40,62,1091
2002,15,50,40,56,1040
2001,15,50,30,62,1266
2000,15,50,32,42,594
1999,15,50,30,42,722
1998,15,50,40,48,723
1997,15,50,23,39,416
1996,15,50,31,58,704
1995,15,50,51,82,1085
1994,15,50,47,83,795
1993,15,50,39,54,820
2011,15,51,1065,2491,57162
2010,15,51,968,2254,52647
2009,15,51,1058,2463,53616
2008,15,51,1015,2320,54705
2007,15,51,878,1974,45027
2006,15,51,1048,2384,54288
2005,15,51,868,1967,44589
2004,15,51,937,2204,43452
2003,15,51,938,2092,40637
2002,15,51,955,2279,44856
2001,15,51,875,2130,40263
2000,15,51,743,1775,32461
1999,15,51,755,1815,29556
1998,15,51,946,2274,36271
1997,15,51,835,2099,33099
1996,15,51,880,2164,30807
1995,15,51,857,2121,27991
1994,15,51,890,2040,27718
1993,15,51,941,2359,28410
2011,15,53,1770,3606,67510
2010,15,53,1462,2891,58885
2009,15,53,1523,2964,63149
2008,15,53,1638,3103,77857
2007,15,53,1582,2891,68707
2006,15,53,1608,3001,61464
2005,15,53,1536,2846,55539
2004,15,53,1447,2759,61522
2003,15,53,1559,2982,54408
2002,15,53,1398,2795,60299
2001,15,53,1365,2609,57332
2000,15,53,1271,2538,44685
1999,15,53,1091,2269,36668
1998,15,53,1137,2328,32018
1997,15,53,1113,2329,33297
1996,15,53,1140,2293,33148
1995,15,53,1204,2364,30005
1994,15,53,1222,2447,31111
1993,15,53,1229,2443,30439
2011,15,54,51,93,1794
2010,15,54,59,102,1921
2009,15,54,41,73,1219
2008,15,54,42,75,1402
2007,15,54,50,83,1144
2006,15,54,58,104,1810
2005,15,54,44,74,1113
2004,15,54,42,75,1366
2003,15,54,40,70,1315
2002,15,54,56,94,1271
2001,15,54,47,83,1528
2000,15,54,40,62,839
1999,15,54,38,54,836
1998,15,54,44,67,790
1997,15,54,41,81,972
1996,15,54,41,75,766
1995,15,54,51,88,912
1994,15,54,71,112,1271
1993,15,54,49,97,1179
2011,15,55,210,337,7286
2010,15,55,217,360,7781
2009,15,55,180,293,6321
2008,15,55,244,399,10261
2007,15,55,202,321,14531
2006,15,55,224,340,6540
2005,15,55,213,335,7970
2004,15,55,175,275,5379
2003,15,55,186,290,5061
2002,15,55,169,253,10296
2001,15,55,171,294,5342
2000,15,55,159,246,6428
1999,15,55,154,252,4310
1998,15,55,126,205,2392
1997,15,55,136,203,3467
1996,15,55,138,225,3080
1995,15,55,152,252,3107
1994,15,55,179,282,3429
1993,15,55,233,352,4976
2011,15,56,66,110,2025
2010,15,56,49,74,1578
2009,15,56,48,95,1951
2008,15,56,44,74,1811
2007,15,56,43,79,2453
2006,15,56,59,102,1892
2005,15,56,50,79,1472
2004,15,56,45,76,1631
2003,15,56,45,81,1699
2002,15,56,38,65,1028
2001,15,56,41,72,1510
2000,15,56,39,73,903
1999,15,56,33,69,955
1998,15,56,33,74,973
1997,15,56,32,58,827
1996,15,56,39,75,936
1995,15,56,50,87,1065
1994,15,56,54,114,1023
1993,15,56,37,63,899
2011,16,1,76,167,3127
2010,16,1,60,143,2132
2009,16,1,85,190,3234
2008,16,1,79,170,3123
2007,16,1,74,163,2852
2006,16,1,77,199,3691
2005,16,1,85,196,4469
2004,16,1,68,156,2914
2003,16,1,68,150,2875
2002,16,1,74,164,2694
2001,16,1,84,191,3909
2000,16,1,67,186,3076
1999,16,1,75,178,2246
1998,16,1,75,190,2440
1997,16,1,59,134,1587
1996,16,1,61,130,2230
1995,16,1,71,156,2352
1994,16,1,78,207,1853
1993,16,1,75,199,2111
2011,16,2,369,739,18574
2010,16,2,357,718,19924
2009,16,2,362,745,17510
2008,16,2,450,951,19882
2007,16,2,454,949,20461
2006,16,2,446,931,18072
2005,16,2,407,864,18684
2004,16,2,370,815,16112
2003,16,2,381,852,16914
2002,16,2,354,729,15428
2001,16,2,334,693,13983
2000,16,2,368,815,14838
1999,16,2,326,719,11505
1998,16,2,325,689,11825
1997,16,2,412,882,13720
1996,16,2,371,791,13111
1995,16,2,384,836,13414
1994,16,2,386,873,12828
1993,16,2,425,1012,13410
2011,16,4,957,2226,38654
2010,16,4,892,2017,31674
2009,16,4,1010,2242,38124
2008,16,4,1247,2686,57402
2007,16,4,1226,2820,55367
2006,16,4,1216,2774,55858
2005,16,4,1057,2286,41438
2004,16,4,868,1827,32703
2003,16,4,931,1987,31948
2002,16,4,889,1861,30844
2001,16,4,869,1908,33199
2000,16,4,828,1816,28545
1999,16,4,776,1647,28387
1998,16,4,798,1711,25454
1997,16,4,788,1719,22569
1996,16,4,784,1776,21715
1995,16,4,805,1928,20632
1994,16,4,792,1865,17706
1993,16,4,806,1873,17471
2011,16,5,75,173,3146
2010,16,5,66,150,1600
2009,16,5,70,162,2736
2008,16,5,105,235,4116
2007,16,5,108,197,7607
2006,16,5,103,236,4451
2005,16,5,82,171,2800
2004,16,5,77,176,2508
2003,16,5,86,179,2129
2002,16,5,85,182,2926
2001,16,5,98,252,2629
2000,16,5,67,159,1888
1999,16,5,70,154,2319
1998,16,5,82,184,2590
1997,16,5,91,218,2732
1996,16,5,88,185,2046
1995,16,5,69,144,1434
1994,16,5,62,150,1376
1993,16,5,83,202,1934
2011,16,6,3337,6876,171736
2010,16,6,3265,6735,139570
2009,16,6,3735,7758,164882
2008,16,6,4576,9589,236005
2007,16,6,5543,12785,292840
2006,16,6,6650,15679,356341
2005,16,6,5639,12777,272786
2004,16,6,4202,9208,181281
2003,16,6,3421,7316,153398
2002,16,6,3351,7309,159535
2001,16,6,3231,6839,169192
2000,16,6,3174,6648,137097
1999,16,6,3077,6514,132386
1998,16,6,3251,6898,132743
1997,16,6,3484,7548,119834
1996,16,6,4009,9174,129661
1995,16,6,5165,12168,159806
1994,16,6,6215,14852,188115
1993,16,6,6032,14469,183116
2011,16,8,686,1400,29790
2010,16,8,646,1362,37774
2009,16,8,706,1465,31739
2008,16,8,808,1692,40309
2007,16,8,812,1646,42525
2006,16,8,890,1824,49398
2005,16,8,904,1899,42255
2004,16,8,839,1721,35116
2003,16,8,906,1887,34914
2002,16,8,819,1796,33047
2001,16,8,832,1755,39017
2000,16,8,738,1592,29780
1999,16,8,686,1427,33811
1998,16,8,694,1454,26027
1997,16,8,656,1408,21536
1996,16,8,665,1413,22271
1995,16,8,705,1460,20031
1994,16,8,689,1447,20358
1993,16,8,697,1561,20298
2011,16,9,49,103,3965
2010,16,9,39,66,1514
2009,16,9,41,84,2689
2008,16,9,62,108,4399
2007,16,9,55,92,3323
2006,16,9,60,89,4357
2005,16,9,63,134,4304
2004,16,9,55,98,3742
2003,16,9,59,102,2509
2002,16,9,42,68,1559
2001,16,9,63,115,4144
2000,16,9,41,72,1702
1999,16,9,50,102,2476
1998,16,9,53,102,2732
1997,16,9,48,80,1522
1996,16,9,63,118,2864
1995,16,9,82,140,2155
1994,16,9,75,138,2627
1993,16,9,78,152,2276
2011,16,10,11,27,570
2010,16,10,11,27,542
2009,16,10,17,36,879
2008,16,10,19,39,682
2007,16,10,15,24,631
2006,16,10,13,26,607
2005,16,10,27,61,1455
2004,16,10,12,19,286
2003,16,10,9,21,462
2002,16,10,12,17,477
2001,16,10,12,14,264
2000,16,10,12,39,1266
1999,16,10,10,17,299
1998,16,10,12,20,440
1997,16,10,14,31,500
1996,16,10,22,37,1835
1995,16,10,8,16,340
1994,16,10,13,19,412
1993,16,10,17,32,532
2011,16,11,13,19,617
2010,16,11,17,22,1121
2009,16,11,15,18,903
2008,16,11,18,21,987
2007,16,11,23,34,1152
2006,16,11,7,13,456
2005,16,11,12,25,648
2004,16,11,14,23,948
2003,16,11,8,23,344
2002,16,11,17,25,818
2001,16,11,21,27,1217
2000,16,11,12,24,759
1999,16,11,14,16,424
1998,16,11,18,26,508
1997,16,11,16,20,527
1996,16,11,12,19,496
1995,16,11,17,31,649
1994,16,11,18,33,615
1993,16,11,17,29,573
2011,16,12,404,794,16911
2010,16,12,396,770,12626
2009,16,12,434,830,20309
2008,16,12,497,1006,20981
2007,16,12,513,1070,21573
2006,16,12,498,1046,21959
2005,16,12,467,865,21206
2004,16,12,395,761,14368
2003,16,12,431,819,14611
2002,16,12,374,768,13471
2001,16,12,350,697,13185
2000,16,12,359,748,12931
1999,16,12,353,676,11295
1998,16,12,351,701,10848
1997,16,12,354,780,10470
1996,16,12,340,770,9575
1995,16,12,429,960,11494
1994,16,12,452,947,9805
1993,16,12,610,1251,13801
2011,16,13,247,495,10524
2010,16,13,190,427,8822
2009,16,13,192,415,7407
2008,16,13,203,455,8171
2007,16,13,190,441,8332
2006,16,13,178,398,8540
2005,16,13,177,376,6839
2004,16,13,167,330,5852
2003,16,13,178,347,6388
2002,16,13,176,414,5791
2001,16,13,169,347,6406
2000,16,13,177,407,7109
1999,16,13,151,351,6868
1998,16,13,127,276,3815
1997,16,13,146,308,4789
1996,16,13,145,314,4425
1995,16,13,137,291,4271
1994,16,13,148,351,4269
1993,16,13,149,313,3756
2011,16,15,148,293,5554
2010,16,15,148,297,4827
2009,16,15,186,340,6049
2008,16,15,179,367,9284
2007,16,15,193,396,12820
2006,16,15,163,349,6959
2005,16,15,136,304,4481
2004,16,15,137,326,4627
2003,16,15,137,267,4251
2002,16,15,136,281,4208
2001,16,15,112,202,3140
2000,16,15,82,178,2603
1999,16,15,95,213,2980
1998,16,15,125,276,3224
1997,16,15,117,262,4162
1996,16,15,145,311,4714
1995,16,15,159,289,4426
1994,16,15,153,329,4773
1993,16,15,164,364,4609
2011,16,16,517136,1225411,25094092
2010,16,16,517395,1216227,24265614
2009,16,16,520719,1211993,26063332
2008,16,16,505181,1174039,27049279
2007,16,16,473417,1111412,25546039
2006,16,16,457782,1080781,22969574
2005,16,16,448781,1064500,20800363
2004,16,16,441111,1048263,19157861
2003,16,16,435083,1034099,18568661
2002,16,16,429441,1019245,18609819
2001,16,16,420113,1004010,19306172
2000,16,16,410281,988144,17561347
1999,16,16,399634,967983,16091779
1998,16,16,387796,946588,14951311
1997,16,16,379299,934627,14103947
1996,16,16,371334,921749,13248057
1995,16,16,361042,902633,11933205
1994,16,16,350568,883715,11097369
1993,16,16,340027,858690,10507719
2011,16,17,266,507,18584
2010,16,17,208,393,12320
2009,16,17,267,543,16695
2008,16,17,266,502,13941
2007,16,17,264,518,13298
2006,16,17,263,549,13398
2005,16,17,266,532,12627
2004,16,17,281,594,12944
2003,16,17,243,536,10493
2002,16,17,233,452,10224
2001,16,17,227,470,10560
2000,16,17,261,567,12444
1999,16,17,242,544,11887
1998,16,17,246,499,25664
1997,16,17,242,485,8327
1996,16,17,213,419,9443
1995,16,17,256,541,8067
1994,16,17,241,530,6725
1993,16,17,242,534,7339
2011,16,18,119,236,4418
2010,16,18,137,297,5071
2009,16,18,130,310,6508
2008,16,18,131,288,5290
2007,16,18,132,284,5379
2006,16,18,135,307,6622
2005,16,18,147,306,3936
2004,16,18,157,329,5184
2003,16,18,103,225,3472
2002,16,18,139,277,5200
2001,16,18,122,247,4343
2000,16,18,120,271,4775
1999,16,18,124,268,3581
1998,16,18,113,249,3760
1997,16,18,115,244,3353
1996,16,18,112,225,2781
1995,16,18,124,294,3385
1994,16,18,106,228,3322
1993,16,18,120,265,3047
2011,16,19,135,258,5710
2010,16,19,108,244,4484
2009,16,19,167,343,6070
2008,16,19,123,276,4884
2007,16,19,132,265,5173
2006,16,19,115,256,4734
2005,16,19,159,341,6933
2004,16,19,115,241,3673
2003,16,19,123,281,4154
2002,16,19,152,358,5740
2001,16,19,125,285,4398
2000,16,19,141,301,4956
1999,16,19,125,246,3266
1998,16,19,130,268,3668
1997,16,19,120,289,3848
1996,16,19,146,305,4209
1995,16,19,125,308,3789
1994,16,19,118,256,2500
1993,16,19,115,240,3002
2011,16,20,151,315,5815
2010,16,20,123,273,4375
2009,16,20,135,270,3826
2008,16,20,170,395,6796
2007,16,20,167,341,8340
2006,16,20,159,364,7078
2005,16,20,159,380,5991
2004,16,20,157,332,4492
2003,16,20,154,333,6063
2002,16,20,169,410,6452
2001,16,20,156,369,5604
2000,16,20,151,366,4768
1999,16,20,154,364,4561
1998,16,20,150,351,5388
1997,16,20,149,339,24254
1996,16,20,133,313,3841
1995,16,20,146,341,3885
1994,16,20,139,327,3958
1993,16,20,166,406,4314
2011,16,21,91,191,3501
2010,16,21,81,168,2785
2009,16,21,80,161,3452
2008,16,21,115,255,4383
2007,16,21,73,152,2602
2006,16,21,83,168,2351
2005,16,21,87,181,3568
2004,16,21,90,173,3816
2003,16,21,81,177,2004
2002,16,21,79,194,15117
2001,16,21,84,172,3102
2000,16,21,70,157,2550
1999,16,21,67,155,3356
1998,16,21,76,162,1727
1997,16,21,79,168,2195
1996,16,21,49,110,1309
1995,16,21,50,105,1288
1994,16,21,72,145,1585
1993,16,21,78,184,1974
2011,16,22,97,202,3609
2010,16,22,72,141,2616
2009,16,22,84,180,5251
2008,16,22,105,186,5147
2007,16,22,72,140,2666
2006,16,22,130,264,4692
2005,16,22,73,165,2736
2004,16,22,68,153,2079
2003,16,22,78,178,2798
2002,16,22,73,148,3703
2001,16,22,98,219,4016
2000,16,22,64,140,2072
1999,16,22,66,158,2465
1998,16,22,78,171,2780
1997,16,22,63,139,1899
1996,16,22,73,164,2276
1995,16,22,78,169,2261
1994,16,22,78,176,1919
1993,16,22,125,298,3074
2011,16,23,39,58,1582
2010,16,23,43,76,1742
2009,16,23,46,80,1474
2008,16,23,39,72,1365
2007,16,23,45,85,1903
2006,16,23,35,66,1013
2005,16,23,46,95,2450
2004,16,23,30,57,1295
2003,16,23,35,62,965
2002,16,23,42,69,1051
2001,16,23,37,64,921
2000,16,23,30,75,1829
1999,16,23,32,58,1153
1998,16,23,24,48,754
1997,16,23,39,89,1285
1996,16,23,40,62,999
1995,16,23,40,117,1249
1994,16,23,52,119,1229
1993,16,23,42,85,967
2011,16,24,103,207,4992
2010,16,24,77,156,4523
2009,16,24,88,183,7043
2008,16,24,140,280,6400
2007,16,24,136,320,7631
2006,16,24,118,294,6209
2005,16,24,108,244,4779
2004,16,24,112,210,5560
2003,16,24,107,225,4807
2002,16,24,88,181,3749
2001,16,24,69,123,3232
2000,16,24,110,219,6279
1999,16,24,89,203,3661
1998,16,24,101,236,4427
1997,16,24,109,252,3560
1996,16,24,99,228,4632
1995,16,24,116,264,4171
1994,16,24,110,224,3709
1993,16,24,109,237,4031
2011,16,25,80,124,4282
2010,16,25,76,141,2323
2009,16,25,72,129,3474
2008,16,25,94,172,3999
2007,16,25,83,138,4175
2006,16,25,93,174,7175
2005,16,25,98,183,4993
2004,16,25,90,163,3764
2003,16,25,107,193,5131
2002,16,25,80,142,3918
2001,16,25,80,133,11694
2000,16,25,88,141,4735
1999,16,25,90,167,4374
1998,16,25,81,138,2785
1997,16,25,79,132,2571
1996,16,25,83,146,2828
1995,16,25,84,143,2582
1994,16,25,103,183,3184
1993,16,25,99,200,3056
2011,16,26,172,326,6090
2010,16,26,200,377,8101
2009,16,26,222,465,8696
2008,16,26,262,477,9369
2007,16,26,266,538,10045
2006,16,26,214,443,8079
2005,16,26,205,409,7755
2004,16,26,183,355,6847
2003,16,26,190,383,6092
2002,16,26,176,372,7713
2001,16,26,186,391,7802
2000,16,26,180,333,9184
1999,16,26,155,280,5107
1998,16,26,177,356,6986
1997,16,26,173,348,7061
1996,16,26,197,420,5147
1995,16,26,165,339,3979
1994,16,26,175,350,4832
1993,16,26,247,588,6818
2011,16,27,203,394,11645
2010,16,27,191,359,7772
2009,16,27,193,365,7605
2008,16,27,228,427,10460
2007,16,27,214,445,10270
2006,16,27,204,385,13275
2005,16,27,204,405,9029
2004,16,27,218,394,7562
2003,16,27,216,468,9335
2002,16,27,255,480,10559
2001,16,27,205,434,9139
2000,16,27,213,402,8113
1999,16,27,222,420,9254
1998,16,27,209,397,7820
1997,16,27,209,400,7745
1996,16,27,203,413,6315
1995,16,27,219,447,6206
1994,16,27,223,498,7062
1993,16,27,202,380,4972
2011,16,28,65,137,2083
2010,16,28,51,100,1742
2009,16,28,56,113,2027
2008,16,28,64,128,1928
2007,16,28,64,130,2026
2006,16,28,81,172,2689
2005,16,28,65,147,2132
2004,16,28,65,139,2658
2003,16,28,53,110,1389
2002,16,28,76,147,2347
2001,16,28,68,145,2179
2000,16,28,54,113,1453
1999,16,28,58,125,1517
1998,16,28,60,122,2194
1997,16,28,68,143,1407
1996,16,28,56,119,1844
1995,16,28,57,131,1188
1994,16,28,53,115,904
1993,16,28,63,132,1287
2011,16,29,179,406,7476
2010,16,29,173,383,7428
2009,16,29,172,356,6862
2008,16,29,227,464,8627
2007,16,29,239,504,8374
2006,16,29,211,448,8006
2005,16,29,196,432,7076
2004,16,29,192,402,4892
2003,16,29,173,344,6026
2002,16,29,183,382,7078
2001,16,29,233,520,8533
2000,16,29,180,406,6994
1999,16,29,192,425,6479
1998,16,29,194,416,5816
1997,16,29,155,317,3862
1996,16,29,163,379,5002
1995,16,29,165,334,3782
1994,16,29,133,265,3330
1993,16,29,155,339,5550
2011,16,30,807,1559,29776
2010,16,30,713,1408,22018
2009,16,30,885,1695,32021
2008,16,30,966,1883,34044
2007,16,30,880,1715,30749
2006,16,30,838,1622,28442
2005,16,30,951,1831,29194
2004,16,30,970,1908,30043
2003,16,30,944,1893,28870
2002,16,30,943,1824,27046
2001,16,30,1052,2087,31500
2000,16,30,948,1960,39345
1999,16,30,921,1873,22234
1998,16,30,997,2066,24708
1997,16,30,957,1939,23253
1996,16,30,913,1924,22482
1995,16,30,793,1621,16932
1994,16,30,852,1830,18863
1993,16,30,796,1676,16285
2011,16,31,106,235,3996
2010,16,31,117,288,4036
2009,16,31,114,257,6272
2008,16,31,130,273,5587
2007,16,31,152,355,6910
2006,16,31,127,294,6389
2005,16,31,129,295,5087
2004,16,31,116,293,4380
2003,16,31,134,325,4314
2002,16,31,170,425,7018
2001,16,31,160,346,4973
2000,16,31,137,330,4821
1999,16,31,158,359,5899
1998,16,31,140,350,5123
1997,16,31,161,385,4873
1996,16,31,133,298,3899
1995,16,31,134,308,3703
1994,16,31,135,317,3989
1993,16,31,124,313,3184
2011,16,32,996,2109,39081
2010,16,32,924,2005,34692
2009,16,32,1054,2253,39624
2008,16,32,1274,2710,56887
2007,16,32,1235,2678,64048
2006,16,32,1384,2998,66470
2005,16,32,1260,2714,50215
2004,16,32,900,1893,31148
2003,16,32,873,1770,31764
2002,16,32,925,1914,73371
2001,16,32,910,1958,32090
2000,16,32,922,1901,32000
1999,16,32,885,1918,31138
1998,16,32,867,1894,26160
1997,16,32,863,1888,24604
1996,16,32,849,1854,25156
1995,16,32,913,1992,24648
1994,16,32,909,2046,23616
1993,16,32,920,2077,20351
2011,16,33,46,81,1803
2010,16,33,34,53,1175
2009,16,33,26,46,1011
2008,16,33,41,78,1583
2007,16,33,39,79,4863
2006,16,33,61,128,3183
2005,16,33,38,61,1509
2004,16,33,49,104,2220
2003,16,33,42,83,1459
2002,16,33,35,62,1334
2001,16,33,49,89,1435
2000,16,33,38,66,1509
1999,16,33,34,63,1052
1998,16,33,36,60,1090
